ceiling,ceiling()
concat,concat()
contains,contains()
count,count()
floor,floor()
normalize-space,normalize-space()
position,position()
round,round()
string,string()
string-length,string-length()
substring,substring()
substring-after,substring-after()
substring-before,substring-before()
sum,sum()
translate,translate()
